RULE_NAME
VR_2025_DHL_GEOTECHNIC_DESCRIPTION_CURRENT_DATE
VR_2025_DHL_DENSITY_CURRENT_DATE
VR_2025_DHL_GEOLOGY_DESCRIPTION_DATE
VR_2024_DHL_LOG_QAQC_MARK_LINE_LINE_INTERVAL
VR_2024_DHL_DENSITY_COATING_DRY_WEIGHT
VR_2025_DHL_DRILL_HOLE_CURRENT_DATE
VR_2025_DHL_GEOTECH_DESCRIPTION_DATE
VR_2025_DHL_CORE_RECOVERY_DATE_RECOVERY
VR_2024_DHL_GEOTECHNIC_RECOVERY_M
VR_2025_DHL_DENSITY_DENSITY_DATE
VR_2024_DHL_DENSITY_QAQC_COATING_DRY_WEIGHT
VR_2025_DHL_DRILL_HOLE_CAMPAIGN
VR_2024_DHL_HOLE_ASSAY_SAMPLE_SAMPLING_DATE
VR_2024_DHL_CORE_RECOVERY_REC_M
VR_2025_DHL_LOG_QAQC_MARK_LINE_CURRENT_DATE
VR_2025_DHL_DRILLING_ACTIVITY _END_TIME
VR_2025_DHL_HOLE_ASSAY_SAMP_DATE_PLAN_IS_NOT_NULL
VR_2025_DHL_HOLE_ASSAY_SAMP_DATE_PLAN_CURRENT_DATE
VR_2024_DHL_DENSITY_QAQC_WEIGHT_WATER_KG
VR_2025_DHL_GEOTECHNIC_DESCRIPTION_DATE
VR_2026_DHL_DENSITY_WEIGHT_IS_NULL
VR_2024_DHL_DRILL_HOLE_SURVEY_DATE
VR_2025_DHL_CORE_RECOVERY_CURRENT_DATE
VR_2025_DHL_DENSITY_QAQC_DENSITY_QAQC_DATE
VR_2025_DHL_HOLE_ASSAY_SAMPLE_SAMPLING_IS_NOT_NULL
VR_2025_DHL_HOLE_ASSAY_SAMPLING_DATE_CURRENT_DATE
VR_2025_DHL_DRILLING_ACTIVITY_DUPLICATE_INTERVALS
VR_2025_DHL_DENSITY_QAQC_CURRENT_DATE
VR_2024_DHL_GEOTECH_RECOVERY_M
VR_2025_DHL_GEOLOGY_DESCRIPTION_CURRENT_DATE
VR_2025_DHL_DENSITY_SAMPLED
VR_2024_DHL_DENSITY_WEIGHT_WATER_KG
VR_2025_DHL_GEOTECH_DESCRIPTION_CURRENT_DATE
VR_2025_DHL_LOG_QAQC_MARK_LINE_DATE_LINE
